"ID","Species","Owner","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","unit_of_measurement","altitude_low_meters","altitude_high_meters"
216,"Arabica","juan luis alvarado romero","Guatemala","chapultepec","beneficio ixchel","unex guatemala, s.a.","3280","norte","CHAPULTEPEC","130","69 kg","Asociacion Nacional Del CafÃ©","2016","June 1st, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.58","7.83","7.58","7.83","7.83","7.67","10","10","10","7.83","84.17","0.1","0","0","Green","2","June 1st, 2017","Asociacion Nacional Del CafÃ©","m","3280","3280"
217,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata","275","70 kg","AlmacafÃ©","2015","August 18th, 2015","Racafe & Cia S.C.A","Caturra","Washed / Wet","8","7.5","7.5","7.67","8","7.83","10","10","10","7.67","84.17","0","0","0","Bluish-Green","0","August 17th, 2016","AlmacafÃ©","m","1600","1950"
218,"Arabica","cooperativa el gorrion r.l","Nicaragua","las nubes","beneficio humedo","cooperativa el gorrion r.l","de 900 a 1100 msnm","jinotega","COOPERATIVA EL GORRION RL","275","2 kg","Specialty Coffee Association of Costa Rica","2015","August 3rd, 2015","COOPERATIVA EL GORRION R.L","Caturra","Natural / Dry","7.67","7.83","7.83","7.5","7.67","7.83","10","10","10","7.83","84.17","0.12","0","0","Bluish-Green","0","August 2nd, 2016","Specialty Coffee Association of Costa Rica","m","900","1100"
219,"Arabica","cafebras","Brazil","pantano","via seca","cafebras comercio de cafÃ©s do brasil sa","1150","cerrado","MAURO GALHERI","305","59 kg","Brazil Specialty Coffee Association","2015","April 24th, 2015","Cafebras","Catuai","Natural / Dry","7.67","7.75","7.75","7.67","7.83","7.75","10","10","10","7.75","84.17","0","0","0","NULL","16","April 23rd, 2016","Brazil Specialty Coffee Association","m","1150","1150"
220,"Arabica","ceca, s.a.","Costa Rica","gamboa","beneficio montaÃ±as del diamante","ceca,s.a.","1850","tarrazu","Martin Gutierrez","320","69 kg","Specialty Coffee Ass","2014","April 10th, 2015","CECA,S.A.","Caturra","Washed / Wet","7.67","7.75","7.67","7.75","7.5","8","10","10","10","7.83","84.17","0","0","0","Blue-Green","0","April 9th, 2016","Specialty Coffee Association of Costa Rica","m","1850","1850"
222,"Arabica","selian coffee estate","Tanzania, United Republic Of","selian coffee estate","selian coffee estate","selian coffee estate","1400","arusha","Selian Coffee Estate","10","60 kg","Africa Fine Coffee Association","2014","December 12th, 2014","Selian Coffee Estate","Other","Washed / Wet","7.92","7.75","7.75","7.75","7.75","7.58","10","10","10","7.67","84.17","0.13","0","0","Green","0","December 12th, 2015","Africa Fine Coffee Association","m","1400","1400"
223,"Arabica","olam agro colombia","Colombia","NULL","trilladora asia","olam international ltd","1530","huila","NULL","250","1 kg","AlmacafÃ©","2014/2015","October 15th, 2014","Olam Agro Colombia","Other","Washed / Wet","7.67","7.5","7.67","7.42","7.83","8.58","10","10","10","7.5","84.17","0.12","0","0","Green","4","October 15th, 2015","AlmacafÃ©","m","1530","1530"
224,"Arabica","chris finch","Guatemala","NULL","NULL","volcafe specialty coffee","NULL","NULL","NULL","275","5 lbs","Specialty Coffee Association","2013","July 16th, 2014","Chris Finch","NULL","Washed / Wet","7.67","7.75","7.67","7.75","7.75","7.75","10","10","10","7.83","84.17","0.11","0","0","Bluish-Green","0","July 16th, 2015","Specialty Coffee Association","m","NULL","NULL"
225,"Arabica","itochu corporation","Kenya","NULL","NULL","taylor winch (coffee) ltd","approx. 1'500 metres a.s.l.","kenya","NULL","300","18000 kg","Kenya Coffee Traders Association","2013","November 7th, 2013","ITOCHU Corporation","SL28","Washed / Wet","7.58","7.75","7.75","7.75","7.75","7.83","10","10","10","7.75","84.17","0.08","0","0","Green","0","November 7th, 2014","Kenya Coffee Traders Association","m","1","500"
226,"Arabica","owen carver","Brazil","cafÃ© do paraÃ­so","cafÃ© do paraÃ­so","cafÃ© do paraÃ­so","894m - 1183m","minas gerais, br","CafÃ© do ParaÃ­so","1","2 kg","Specialty Coffee Association","2012","May 20th, 2013","Owen Carver","Mundo Novo","Natural / Dry","7.58","7.83","7.75","7.67","7.67","8","10","10","10","7.67","84.17","0.11","0","0","Green","3","May 20th, 2014","Specialty Coffee Association","m","894","1183"
227,"Arabica","juan luis alvarado romero","Guatemala","la union monte verde","beneficio ixchel","unex guatemala, s.a.","4300","oriente","AGRICOLA MONTE VERDE, S.A.","250","69 kg","Asociacion Nacional Del CafÃ©","2013","May 9th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.92","7.75","7.67","7.67","7.83","7.92","10","10","10","7.42","84.17","0.11","0","0","Green","4","May 9th, 2014","Asociacion Nacional Del CafÃ©","ft","1310.64","1310.64"
228,"Arabica","atlantic specialty coffee","El Salvador","el majahual","j. hill y cia","atlantic specialty coffee","1500 meters","apaneca","Aida Batlle","275","2 kg","Specialty Coffee Association","2013","March 18th, 2013","Atlantic Specialty Coffee","Bourbon","Natural / Dry","8.42","8.08","7.5","7.17","7.58","8.17","9.33","10","10","7.92","84.17","0.11","0","0","Bluish-Green","2","March 18th, 2014","Specialty Coffee Association","m","1500","1500"
229,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora boananza","exportadora de cafe condor s.a","1750 msnm","huila","NULL","250","70 kg","AlmacafÃ©","2012","October 19th, 2012","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","7.75","7.75","7.75","7.75","7.83","7.75","10","10","10","7.58","84.17","0","0","0","Green","2","October 19th, 2013","AlmacafÃ©","m","1750","1750"
230,"Arabica","juan luis alvarado romero","Guatemala","el limon","beneficio serben","unicafe","NULL","guatemala","WILLIAM ESTUARDO MARTINEZ PACHECO","275","1 kg","Asociacion Nacional Del CafÃ©","2012","March 26th, 2012","Juan Luis Alvarado Romero","Catuai","Natural / Dry","7.83","7.5","7.5","8","7.83","7.83","10","10","10","7.67","84.17","0.11","0","0","Bluish-Green","2","March 26th, 2013","Asociacion Nacional Del CafÃ©","m","NULL","NULL"
231,"Arabica","afca","Uganda","NULL","great lakes coffee","great lakes coffee","1500-1700m","mt. rwenzori","NULL","320","60 kg","Africa Fine Coffee Association","2012","February 13th, 2012","AFCA","Other","Washed / Wet","7.83","7.75","7.5","7.83","7.83","7.75","10","10","10","7.67","84.17","0.11","0","0","Green","1","February 12th, 2013","Africa Fine Coffee Association","m","1500","1700"
232,"Arabica","pt.royal pacific indah international","Indonesia","mus, eman","dry mill or hulling facility","pt. royal pacific indah international","NULL","aceh tengah","ANTON GAYO","2","2 kg","Specialty Coffee Association of Indonesia","2017","May 24th, 2017","PT.ROYAL PACIFIC INDAH INTERNATIONAL","Mandheling","Natural / Dry","7.81","7.88","7.56","7.75","7.63","7.75","10","10","10","7.75","84.13","0.12","0","0","Bluish-Green","0","May 24th, 2018","Specialty Coffee Association of Indonesia","m","NULL","NULL"
233,"Arabica","carcafe ltda ci","Colombia","NULL","neiva","carcafe ltda","442","huila","FRANKLIN DUSSAN / HIPOLITO TORRES","275","70 kg","AlmacafÃ©","2017 / 2018","November 9th, 2017","CARCAFE LTDA CI","Caturra","Washed / Wet","7.83","7.5","7.42","7.5","7.83","8.5","10","10","10","7.5","84.08","0","1","3","Green","3","November 9th, 2018","AlmacafÃ©","m","442","442"
234,"Arabica","lin, che-hao krude ???","Taiwan","chang yu liang ???","chang yu liang ???","taiwan coffee laboratory","968","nanxi dist., tainan city ??????","CHANG YU LIANG ???","10","20 kg","Specialty Coffee Association","2016","May 18th, 2016","Lin, Che-Hao Krude ???","Typica","Washed / Wet","7.58","7.67","7.67","7.67","7.75","7.83","10","10","10","7.92","84.08","0.1","0","0","Bluish-Green","4","May 18th, 2017","Specialty Coffee Association","m","968","968"
235,"Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","beneficio ixchel","unex guatemala, s.a.","NULL","oriente","MARGARITA AVILA DE NUYENS","50","69 kg","Asociacion Nacional Del CafÃ©","2016","April 27th, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","8","7.75","7.5","7.58","7.92","7.67","10","10","10","7.67","84.08","0.1","0","0","Green","4","April 27th, 2017","Asociacion Nacional Del CafÃ©","m","NULL","NULL"
236,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata","200","70 kg","AlmacafÃ©","2014","November 5th, 2014","Racafe & Cia S.C.A","Caturra","Washed / Wet","7.92","7.75","7.67","7.75","7.67","7.67","10","10","10","7.67","84.08","0","0","0","NULL","2","November 5th, 2015","AlmacafÃ©","m","1600","1950"
237,"Arabica","lusso lab","Guatemala","aprocafi","NULL","lusso coffee lab","1550","aldea xeucalvitz, ixil region, quiche department","Asociacion de Productores de Cafe de la Region Ixil","1","2 kg","Specialty Coffee Association","2014","June 16th, 2014","LUSSO LAB","Bourbon","Washed / Wet","7.58","7.75","7.67","8","7.75","7.67","10","10","10","7.67","84.08","0.1","0","0","Bluish-Green","10","June 16th, 2015","Specialty Coffee Association","m","1550","1550"
238,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","14","100 lbs","Specialty Coffee Association","2012","January 24th, 2013","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry","7.83","7.75","7.83","7.83","7.42","8.08","9.33","10","10","8","84.08","0.11","1","0","Green","9","January 24th, 2014","Specialty Coffee Association","ft","NULL","NULL"
239,"Arabica","andres martinez leon","Mexico","la lagunilla","agroindustrias unidas de mexico","NULL","1480","santo domingo cacalotepec","ANDRES MARTINEZ LEON","300","1 kg","AMECAFE","2012","September 4th, 2012","ANDRES MARTINEZ LEON","Typica","Washed / Wet","7.67","7.75","7.67","7.75","7.67","7.75","10","10","10","7.83","84.08","0.11","1","0","Green","10","September 4th, 2013","AMECAFE","m","1480","1480"
240,"Arabica","steven kil","Ethiopia","NULL","NULL","the specialty coffee appraisers institute of asia","1800m","ethiopia, sidamo","NULL","100","60 kg","Specialty Coffee Association","2012","August 17th, 2012","Steven Kil","Other","Natural / Dry","7.92","7.92","7.83","8","7.92","7.92","10","10","8.67","7.92","84.08","0.09","0","0","NULL","15","August 17th, 2013","Specialty Coffee Association","m","1800","1800"
241,"Arabica","amanda powers","Costa Rica","NULL","exclusive coffees s.a,","thrive farmers","NULL","NULL","NULL","275","150 lbs","Specialty Coffee Association","2017","January 11th, 2018","Amanda Powers","NULL","Washed / Wet","7.58","7.75","7.67","7.75","7.83","7.75","10","10","10","7.67","84","0.08","1","2","None","13","January 11th, 2019","Specialty Coffee Association","m","NULL","NULL"
242,"Arabica","kyagalanyi coffee ltd","Ethiopia","kerchanshe","kerchanshe","kyagalanyi coffee ltd","1800","sidamo","Kerchanshe Trading P.L.C","320","60 kg","Uganda Coffee Development Authority","2017","June 5th, 2017","Kyagalanyi Coffee Ltd","Gesha","Natural / Dry","7.83","7.75","7.67","7.75","7.33","7.75","10","10","10","7.92","84","0.11","3","11","Green","1","June 5th, 2018","Uganda Coffee Development Authority","m","1800","1800"
243,"Arabica","bismarck castro","Honduras","las cuchillas","cigrah s.a de c.v.","cigrah s.a de c.v","1500","comayagua","Nahun Maldonado","275","66 kg","Instituto HondureÃ±o del CafÃ©","2017","May 11th, 2017","Bismarck Castro","Caturra","Washed / Wet","7.42","7.83","7.75","7.92","7.75","7.58","10","10","10","7.75","84","0.1","0","0","Green","5","May 11th, 2018","Instituto HondureÃ±o del CafÃ©","m","1500","1500"
244,"Arabica","juan luis alvarado romero","Guatemala","finca los cerros y anexos","beneficio exportacafe agua santa","exportcafe","5440 - 5760 metros","huehuetenango","OTONIEL VILLATORO LOPEZ","275","69 kg","Asociacion Nacional Del CafÃ©","2015","June 10th, 2015","Juan Luis Alvarado Romero","Caturra","Washed / Wet","7.67","7.83","7.58","7.92","7.75","7.67","10","10","10","7.58","84","0.12","0","0","Green","7","June 9th, 2016","Asociacion Nacional Del CafÃ©","ft","1658.112","1755.648"
245,"Arabica","olam agro colombia","Colombia","NULL","trilladora asia","olam international ltd","1600","huila","NULL","250","1 kg","AlmacafÃ©","2014/2015","December 18th, 2014","Olam Agro Colombia","Other","Washed / Wet","7.67","7.67","7.83","7.58","7.58","7.83","10","10","10","7.83","84","0.11","2","0","Green","7","December 18th, 2015","AlmacafÃ©","m","1600","1600"
246,"Arabica","juan luis alvarado romero","Guatemala","el papaturro","beneficio ixchel","unex guatemala, s.a.","4000 psnm","oriente","AMILCAR LAPOLA","250","69 kg","Asociacion Nacional Del CafÃ©","2014","August 8th, 2014","Juan Luis Alvarado Romero","Bourbon","Natural / Dry","7.92","7.67","7.42","7.92","7.75","7.83","10","10","10","7.5","84","0.1","0","0","Green","1","August 8th, 2015","Asociacion Nacional Del CafÃ©","ft","1219.2","1219.2"
247,"Arabica","juan luis alvarado romero","Guatemala","el papaturro","beneficio ixchel","unex guatemala, s.a.","4000 psnm","oriente","AMILCAR LAPOLA","250","69 kg","Asociacion Nacional Del CafÃ©","2014","June 27th, 2014","Juan Luis Alvarado Romero","Bourbon","Other","7.75","7.83","7.5","7.83","7.58","7.67","10","10","10","7.83","84","0.1","0","0","Green","0","June 27th, 2015","Asociacion Nacional Del CafÃ©","ft","1219.2","1219.2"
248,"Arabica","olam agro colombia","Colombia","NULL","trilladora asia","olam international ltd","1480","huila","NULL","250","1 kg","AlmacafÃ©","2014","May 27th, 2014","Olam Agro Colombia","NULL","Washed / Wet","7.67","7.75","7.67","7.67","7.67","7.75","10","10","10","7.83","84","0.12","0","0","Green","0","May 27th, 2015","AlmacafÃ©","m","1480","1480"
249,"Arabica","compaÃ±ia colombiana agroindustrial s.a","Colombia","NULL","trilladora agricola","ecom cca sa","1450","santander","NULL","250","70 kg","AlmacafÃ©","2014","May 27th, 2014","CompaÃ±ia Colombiana Agroindustrial S.A","Caturra","Natural / Dry","7.58","7.42","7.75","7.92","7.75","7.92","10","10","10","7.67","84","0.12","0","0","Green","0","May 27th, 2015","AlmacafÃ©","m","1450","1450"
250,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata","138","70 kg","AlmacafÃ©","2014","April 8th, 2014","Racafe & Cia S.C.A","Caturra","Washed / Wet","7.67","7.67","7.5","7.5","7.67","7.67","10","10","10","8.33","84","0.12","0","0","Green","3","April 8th, 2015","AlmacafÃ©","m","1600","1950"
251,"Arabica","lusso lab","Ethiopia","NULL","NULL","lusso coffee lab","1550 m","sidamo","NULL","50","60 kg","Specialty Coffee Association","2013","January 17th, 2014","LUSSO LAB","Other","Natural / Dry","7.75","7.75","7.5","7.58","7.67","7.92","10","10","10","7.83","84","0.09","4","0","Green","40","January 17th, 2015","Specialty Coffee Association","m","1550","1550"
252,"Arabica","ipanema coffees","Brazil","fazenda rio verde","ipanema coffees","ipanema coffees","1260","south of minas","Ipanema Coffees","320","60 kg","Specialty Coffee Association","2013/2014","January 2nd, 2014","Ipanema Coffees","Yellow Bourbon","Natural / Dry","7.58","7.83","7.67","7.25","8","7.75","10","10","10","7.92","84","0.1","0","0","Green","0","January 2nd, 2015","Specialty Coffee Association","m","1260","1260"
253,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora boananza","exportadora de cafe condor s.a","1700 msnm","cauca","NULL","270","70 kg","AlmacafÃ©","2013","June 21st, 2013","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","7.67","7.83","7.67","7.75","7.67","7.75","10","10","10","7.67","84","0.11","0","0","Green","1","June 21st, 2014","AlmacafÃ©","m","1700","1700"
254,"Arabica","ibero kenya limited","Kenya","NULL","nkg/ck/hc/ss/kccm","ibero kenya limited","above 1200 m","blend","Blend of various producers","300","60 kg","Kenya Coffee Traders Association","2012","March 8th, 2013","Ibero Kenya Limited","SL34","Washed / Wet","7.67","7.83","7.5","7.75","7.92","7.67","10","10","10","7.67","84","0","0","0","Green","2","March 8th, 2014","Kenya Coffee Traders Association","m","1200","1200"
255,"Arabica","doi tung development project","Thailand","doi tung development project","doi tung development project","mae fah luang foundation","NULL","thailand","Doi Tung Development Project","2","1 kg","Specialty Coffee Association","2012","June 21st, 2012","Doi Tung Development Project","Other","Washed / Wet","7.92","8.17","8.17","8.42","8.08","8.17","8.67","8.67","9.33","8.42","84","0.12","0","0","Green","0","June 21st, 2013","Specialty Coffee Association","m","NULL","NULL"
256,"Arabica","taylor winch (coffee) ltd.","Kenya","-","NULL","taylor winch (coffee) ltd","1650","central kenya","-","150","9000 kg","Kenya Coffee Traders Association","2012","May 31st, 2012","Taylor Winch (Coffee) Ltd.","SL28","Washed / Wet","7.67","7.75","7.67","7.75","7.83","7.67","10","10","10","7.67","84","0","0","0","Bluish-Green","0","May 31st, 2013","Kenya Coffee Traders Association","m","1650","1650"
257,"Arabica","afca","Uganda","NULL","bukonzo joint cfs","bukonzo joint cfs","1700m","kasese","NULL","320","60 kg","Africa Fine Coffee Association","2012","February 13th, 2012","AFCA","Other","Washed / Wet","7.92","7.75","7.58","7.67","7.67","7.83","10","10","10","7.58","84","0.1","10","0","Green","26","February 12th, 2013","Africa Fine Coffee Association","m","1700","1700"
258,"Arabica","doi tung development project","Thailand","doi tung development project","NULL","NULL","NULL","NULL","NULL","1","60 kg","Specialty Coffee Association","2011","August 16th, 2011","Doi Tung Development Project","NULL","NULL","7.58","7.75","7.58","7.75","7.58","7.75","10","10","10","8","84","0.06","0","0","NULL","0","August 15th, 2012","Specialty Coffee Association","m","NULL","NULL"
259,"Arabica","ipanema coffees","Brazil","fazenda capoeirnha","dry mill","ipanema coffees","890","south of minas","Ipanema Agricola S.A","320","60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry","7.5","7.75","7.58","7.5","7.58","7.5","10","10","10","8.5","83.92","0","0","0","Green","3","October 20th, 2018","Brazil Specialty Coffee Association","m","890","890"
260,"Arabica","cafes tomari sa de cv","Mexico","cafetal","cafes tomari sa de cv","cafes tomari sa de cv","1300","veracruz","CAFES TOMARI SA DE CV","200","69 kg","Centro AgroecolÃ³gico del CafÃ© A.C.","2017","July 3rd, 2017","CAFES TOMARI SA DE CV","Mundo Novo","Washed / Wet","7.83","7.83","7.58","7.92","7.42","7.5","10","10","10","7.83","83.92","0.11","0","0","Green","5","July 3rd, 2018","Centro AgroecolÃ³gico del CafÃ© A.C.","m","1300","1300"
261,"Arabica","sarawut premjit","Thailand","saveg coffee farm","dry mill","intercof 1978 group company limited","1350","chiangrai","Phatang, Saveg","45","40 kg","Specialty Coffee Association","2015","October 18th, 2016","Sarawut Premjit","Catimor","Natural / Dry","7.67","7.75","7.5","7.67","7.67","7.83","10","10","10","7.83","83.92","0.1","0","0","Bluish-Green","1","October 18th, 2017","Specialty Coffee Association","m","1350","1350"
262,"Arabica","ipanema coffees","Brazil","capoeirinha","dry mill","ipanema coffees","934","south of minas","Ipanema Agricola","320","60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry","7.58","7.67","7.67","7.75","7.58","7.83","10","10","10","7.83","83.92","0.11","0","2","Green","7","August 16th, 2017","Brazil Specialty Coffee Association","m","934","934"
263,"Arabica","lin, che-hao krude ???","Taiwan","tsoustructive garden ???","tsoustructive garden ???","taiwan coffee laboratory","1200","leye, alishan township, chiayi county ????????","FANG,ZHENG-LUN ???","20","50 kg","Specialty Coffee Association","2015","May 18th, 2016","Lin, Che-Hao Krude ???","Typica","Washed / Wet","7.83","7.75","7.83","7.75","7.83","7.75","9.33","10","10","7.83","83.92","0.11","0","0","Green","3","May 18th, 2017","Specialty Coffee Association","m","1200","1200"
264,"Arabica","carcafe ltda ci","Colombia","NULL","neiva","carcafe ltda","442","huila","FRANKLIN DUSSAN / HIPOLITO TORRES","250","70 kg","AlmacafÃ©","2016","February 11th, 2016","CARCAFE LTDA CI","NULL","NULL","7.75","7.67","7.5","7.75","7.83","7.75","10","10","10","7.67","83.92","0.11","1","0","Green","2","February 10th, 2017","AlmacafÃ©","m","442","442"
265,"Arabica","almacafe","Colombia","NULL","bachuÃ©","racafe & cia s.c.a","NULL","la plata","NULL","226","70 kg","AlmacafÃ©","2016","January 21st, 2016","ALMACAFE","NULL","NULL","7.75","7.58","7.5","7.83","7.75","7.92","10","10","10","7.58","83.92","0","1","3","NULL","5","January 20th, 2017","AlmacafÃ©","m","NULL","NULL"
266,"Arabica","cqi taiwan icp cqi??????","Taiwan","very famous intl.????????????","very famous intl.????????????","????","NULL","??","YANG TENG KO???","1","2 kg","Blossom Valley International","2014","November 7th, 2015","CQI Taiwan ICP CQI??????","NULL","Natural / Dry","7.75","7.75","7.58","7.75","7.75","7.67","10","10","10","7.67","83.92","0","0","0","Blue-Green","0","November 6th, 2016","Blossom Valley International","m","NULL","NULL"
267,"Arabica","federacion nacional de cafeteros","Colombia","NULL","NULL","federacion nacional de cafeteros","NULL","huila","NULL","275","2 kg","AlmacafÃ©","2015","August 18th, 2015","Federacion Nacional de Cafeteros","NULL","Washed / Wet","7.92","7.67","7.5","7.83","7.58","7.67","10","10","10","7.75","83.92","0","0","0","NULL","0","August 17th, 2016","AlmacafÃ©","m","NULL","NULL"
268,"Arabica","federacion nacional de cafeteros","Colombia","NULL","NULL","federacion nacional de cafeteros","NULL","huila","NULL","275","2 kg","AlmacafÃ©","2014","March 12th, 2015","Federacion Nacional de Cafeteros","NULL","Washed / Wet","7.83","7.75","7.58","7.58","7.75","7.75","10","10","10","7.67","83.92","0","1","0","None","1","March 11th, 2016","AlmacafÃ©","m","NULL","NULL"
269,"Arabica","racafe & cia s.c.a","Colombia","NULL","NULL","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata","275","70 kg","AlmacafÃ©","2014","December 12th, 2014","Racafe & Cia S.C.A","Caturra","Washed / Wet","7.75","7.58","7.67","7.83","7.83","7.67","10","10","10","7.58","83.92","0","0","0","Green","1","December 12th, 2015","AlmacafÃ©","m","1600","1950"
270,"Arabica","cqi taiwan icp cqi??????","Taiwan","?????","?????","????","950??","?????","???","10","60 kg","Blossom Valley International","2014","November 23rd, 2014","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","8","7.92","7.92","7.92","7.67","7.33","10","10","10","7.17","83.92","0.06","0","0","Green","0","November 23rd, 2015","Blossom Valley International","m","950","950"
271,"Arabica","compaÃ±ia colombiana agroindustrial s.a","Colombia","NULL","trilladora boananza","ecom cca sa","1550","santander","NULL","250","70 kg","AlmacafÃ©","2014","January 17th, 2014","CompaÃ±ia Colombiana Agroindustrial S.A","Caturra","Natural / Dry","7.67","7.83","7.67","7.75","7.67","7.83","10","10","10","7.5","83.92","0.12","0","0","Green","3","January 17th, 2015","AlmacafÃ©","m","1550","1550"
272,"Arabica","oscar ortega carballo","Mexico","finca cuetzalingo","xicotepec de juarez","agro xicotepec 2000","900","xicotepec de juarez","OSCAR ORTEGA CARBALLO","48","1 kg","AMECAFE","2012","July 3rd, 2012","OSCAR ORTEGA CARBALLO","Typica","Washed / Wet","7.67","7.75","7.58","7.67","7.75","7.83","10","10","10","7.67","83.92","0.12","10","0","Blue-Green","32","July 3rd, 2013","AMECAFE","m","900","900"
273,"Arabica","alfredo bojalil","Mexico","finca sant rosa","agroindustrias unidas de mexico","ecomtrading","1500","la concordia","ARTURO LIEVANO MORENO","250","1 kg","AMECAFE","2012","June 6th, 2012","ALFREDO BOJALIL","Typica","Washed / Wet","7.5","7.67","7.58","7.83","7.75","7.75","10","10","10","7.83","83.92","0.11","0","0","NULL","2","June 6th, 2013","AMECAFE","m","1500","1500"
274,"Arabica","organizaciones de productores de cafe colimense","Mexico","comunidad la yerbabuena","cafetaleros de la yerbabuena spr de rl","organizaciones de productores de cafe colimense sa de cv","1400","la yerbabuena","coop","20","1 kg","AMECAFE","2012","April 2nd, 2012","ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE","Typica","Washed / Wet","7.75","7.92","7.83","7.92","7.75","7.67","9.33","10","10","7.75","83.92","0","0","0","Green","2","April 2nd, 2013","AMECAFE","m","1400","1400"
275,"Arabica","carcafe ltda ci","Colombia","NULL","cartago","carcafe ltda","2527","nariÃ±o","Jose Albeiro gomez","275","70 kg","AlmacafÃ©","2017","June 30th, 2017","CARCAFE LTDA CI","Caturra","Washed / Wet","7.92","7.58","7.5","7.83","7.58","7.67","10","10","10","7.75","83.83","0","1","0","Green","6","June 30th, 2018","AlmacafÃ©","m","2527","2527"
276,"Arabica","racafe & cia s.c.a","Colombia","NULL","bachue","racafe & cia s.c.a","NULL","huila","La Plata","275","70 kg","AlmacafÃ©","2016","March 14th, 2017","Racafe & Cia S.C.A","Caturra","NULL","7.83","7.67","7.5","7.75","7.75","7.75","10","10","10","7.58","83.83","0","1","2","Green","0","March 14th, 2018","AlmacafÃ©","m","NULL","NULL"
277,"Arabica","ceca, s.a.","Costa Rica","gamboa","beneficio montaÃ±as del diamante","ceca,s.a.","1850","tarrazu","Martin Gutierrez","275","69 kg","Specialty Coffee Association of Costa Rica","2015","June 6th, 2016","CECA, S.A.","Caturra","Washed / Wet","7.67","7.67","7.75","7.67","7.5","7.75","10","10","10","7.83","83.83","0","0","0","Blue-Green","0","June 6th, 2017","Specialty Coffee Association of Costa Rica","m","1850","1850"
278,"Arabica","juan luis alvarado romero","Guatemala","finca medina","beneficio siembras vision (154)","siembras vision, s.a.","1500","antigua","FINCA MEDINA","100","69 kg","Asociacion Nacional Del CafÃ©","2016","May 23rd, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.75","7.75","7.5","7.75","7.83","7.58","10","10","10","7.67","83.83","0.11","0","7","Green","6","May 23rd, 2017","Asociacion Nacional Del CafÃ©","m","1500","1500"
279,"Arabica","cqi taiwan icp cqi??????","Taiwan","??????????yuyupas international corp.","none","????","1200","??","???","167","30 kg","Blossom Valley International","2016","February 23rd, 2016","CQI Taiwan ICP CQI??????","NULL","NULL","7.75","7.67","7.5","7.75","7.75","7.67","10","10","10","7.75","83.83","0","0","0","NULL","0","February 22nd, 2017","Blossom Valley International","m","1200","1200"
280,"Arabica","ipanema coffees","Brazil","rio verde","ipanema comercial e exportadora sa","ipanema coffees","1","south of minas","Ipanema AgrÃ­cola SA","320","2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry","7.25","7.58","7.42","8","7.75","7.83","10","10","10","8","83.83","0","0","0","Green","0","October 7th, 2016","Brazil Specialty Coffee Association","m","1","1"
281,"Arabica","lin, che-hao krude ???","Taiwan","???? hometown coffee","???? hometown coffee","taiwan coffee laboratory","480-570m","dongshan dist., tainan city ??????","ZENG JIAN NAN ???","8","18 kg","Specialty Coffee Association","2014","April 30th, 2015","Lin, Che-Hao Krude ???","Typica","Washed / Wet","7.67","7.75","7.67","7.75","7.42","7.75","10","10","10","7.83","83.83","0","0","0","Green","1","April 29th, 2016","Specialty Coffee Association","m","480","570"
