"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific Name"
"602","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"603","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Oceaniidae","Turritopsis","Turritopsis dohrnii"
"604","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros Melampus"
"605","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Eacles","Eacles imperialis"
"606","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","Elephas maximus indicus"
"607","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Ratufa","Ratufa indica"
"608","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Funambulus","Funambulus Palmarum"
"609","Animalia","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros","Rhinoceros Unicornis"
"610","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Geochelone","Geochelone elegans"
"611","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera Tigris Corbetti"
"612","Animalia","Chordata","Mammalia","Primates","Indriidae","Indri","Indri indri"
"613","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"614","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"615","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"616","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"617","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"618","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"619","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"620","Animalia","Chordata","Aves","Piciformes","Picidae","Campephilus","Campephilus principalis"
"621","Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Jacana Brisson","Jacanidae"
"622","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"623","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"624","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Aureus"
"625","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"626","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"627","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera onca"
"628","Animalia","Chordata","Mammalia","Carnivora","Felidae","Herpailurus","Herpailurus yagouaroundi"
"629","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Popillia","Popillia japonica"
"630","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"631","Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Macaca","Macaca fuscata"
"632","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"633","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus lis"
"634","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"635","Animalia","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros","Rhinoceros Sondaicus"
"636","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"637","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"638","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"639","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Trichonephila","Trichonephila clavata"
"640","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"641","Animalia","Chordata","Aves","Psittaciformes","Nestoridae","Strigops","Strigops habroptilus"
"642","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"643","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"644","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"645","Animalia","Chordata","Aves","Piciformes","Ramphastidae","Ramphastos","Ramphastos sulfuratus"
"646","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"647","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"648","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus"
"649","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus Hircus"
"650","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca"
"651","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"652","Animalia","Chordata","Reptilia","Squamata","Elapidae","Ophiophagus","Ophiophagus hannah"
"653","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lopholithodes","Lopholithodes Mandtii"
"654","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"655","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"656","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"657","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Potos","Potos flavus"
"658","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"659","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"660","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus"
"661","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus guigna"
"662","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus rubrofuscus ""koi"""
"663","Animalia","Chordata","Reptilia","Squamata","Varanidae","Varanus","Varanus komodoensis"
"664","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"665","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"666","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"667","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"668","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus Strepsiceros"
"669","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"670","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"671","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"672","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"673","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"674","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"675","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"676","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"677","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"678","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"679","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"680","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"681","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"682","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"683","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Lemmus","Lemmus Lemmus"
"684","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"685","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"686","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus"
"687","Animalia","Chordata","Mammalia","Carnivora","Felidae","Prionailurus","Prionailurus bengalensis"
"688","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"689","Animalia","Chordata","Reptilia","Squamata","Eublepharidae","Eublepharis","Eublepharis macularius"
"690","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Hydrurga","Hydrurga Leptonyx"
"691","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Stigmochelys","Stigmochelys pardalis"
"692","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"693","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"694","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera leo × Panthera tigris"
"695","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera leo"
"696","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"697","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Pterois","Pterois volitans"
"698","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis lucifugus"
"699","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula Minor"
"700","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"701","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Lama","Lama Glama"
"702","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"703","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"704","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"705","Animalia","Chordata","Aves","Casuariiformes","Casuariidae","Casuarius","Casuarius"
"706","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"707","Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus osseus"
"708","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"709","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"710","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"711","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Felis lynx"
"712","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"713","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes Chrysolophus"
"714","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Arini","Arini"
"715","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus occidentalis"
"716","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus magellanicus"
"717","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica Pica"
"718","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"719","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Viverra","Viverra tangalunga"
"720","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera Tigris Jacksoni"
"721","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"722","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"723","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"724","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"725","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"726","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Physaliidae","Physalia","Physalia physalis"
"727","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"728","Animalia","Hemichordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"729","Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Mandrillus","Mandrillus Sphinx"
"730","Animalia","Chordata","Mammalia","Carnivora","Canidae","Chrysocyon","Chyrsocyon brachyurus"
"731","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"732","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"733","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Leptoptilos","Leptoptilos crumenifer"
"734","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes"
"735","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Amblyrhynchus","Amblyrhynchus cristatus"
"736","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo Marinus"
"737","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra falconeri"
"738","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"739","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax ridibundus"
"740","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Paguma","Paguma larvata"
"741","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"742","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"743","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"744","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"745","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"746","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","Suricata","Suricata suricatta"
"747","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"748","Animalia","Chordata","Chondrichthyes","Lamniformes","Megachasmidae","Megachasma","Megachasma pelagios"
"749","Animalia","Chordata","Actinopterygii","Siluriformes","Pangasiidae","Pangasianodon","Pangasianodon gigas"
"750","Animalia","Chordata","Reptilia","Squamata","Anguidae","Abronia","Abronia graminea"
"751","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis"
"752","Animalia","Chordata","Reptilia","Squamata","Bipedidae","Bipes","Bipes biporus"
"753","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"754","Animalia","Chordata","Actinopterygii","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos"
"755","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"756","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"757","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"758","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"759","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"760","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela or Neovison","Mustela lutreola or Neovison vison"
"761","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"762","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Ictinia","Ictinia mississippiensis"
"763","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"764","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"765","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia"
"766","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus plexippus"
"767","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","Herpestes","Helogale Parvula"
"768","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"769","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"770","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"771","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"772","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Eleutherodactylus","Eleutherodactylus iberia"
"773","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula"
"774","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"775","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"776","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"777","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"778","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"779","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia currucoides"
"780","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"781","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"782","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla Berengei Berengei"
"783","Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Felis Concolor"
"784","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"785","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"786","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"787","Animalia","Chordata","Amphibia","Urodela","Proteidae","Necturus","Necturus maculosus"
"788","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus mulus"
"789","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"790","Animalia","Chordata","Mammalia","Artiodactyla","Artiodactyla","Ovibos","Ovibos moschatus"
"791","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus"
"792","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"793","Animalia","Chordata","Mammalia","Rodentia","Heterocephalidae","Heterocephalus","Heterocephalus glaber"
"794","Animalia","Chordata","Mammalia","Cetacea","Monodontidae","Monodon","Monodon monoceros"
"795","Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo Sapiens Neanderthalensis"
"796","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"797","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis Catus"
"798","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"799","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"800","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"801","Animalia","Chordata","Mammalia","Artiodactyla","Calvo","Capra","Capra aegagrus hircus"
"802","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"803","Animalia","Chordata","Reptilia","Crocodilia","Crocodylidae","Crocodylus","Crocodylus niloticus"
"804","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"805","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"806","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"807","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria coerulea"
"808","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis"
"809","Animalia","Chordata","Mammalia","Carnivora","Pinnipedia","Callorhinus","Callorhinus ursinus"
"810","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"811","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"812","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"813","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"814","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"815","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"816","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"817","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"818","Animalia","Chordata","Mammalia","Dasyuromorphia","Myrmecobiidae","Myrmecobius","Myrmecobius Fasciatus"
"819","Animalia","Chordata","Chondrichthyes","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","Ginglymostoma cirratum"
"820","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis"
"821","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"822","Animalia","Chordata","Mammalia","Artiodactyla","Giraffidae","Okapia","Okapia johnstoni"
"823","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"824","Animalia","Chordata","Amphibia","Caudata","Proteidae","Proteus","Proteus anguinus"
"825","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis Virginiana"
"826","Animalia","Chordata","Mammalia","Primates","Hominidae","Pongo","Pongo pygmaeus, Pongo abelii, Pongo tapanuliensis"
"827","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"828","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Astronotus","Astronotus ocellatus"
"829","Animalia","Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus"
"830","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","Lutra Canadensis"
"831","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"832","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"833","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Opsanus","Opsanus tau"
"834","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"835","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Thylogale","Thylogale"
"836","Animalia","Chordata","Reptilia","Testudines","Emydidae","Chrysemys","Chrysemys picta"
"837","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"838","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus, Panthera onca"
"839","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"840","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"841","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"842","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Forpus","Forpus cyanopygius"
"843","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"844","Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Erythrocebus","Erythrocebus patas"
"845","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"846","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"847","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais io"
"848","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"849","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"850","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"851","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"852","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"853","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"854","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"855","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Elaphurus","Elaphurus davidianus"
"856","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"857","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"858","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"859","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"860","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"861","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"862","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus Colchicus"
"863","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus bicolor"
"864","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa scrofa"
"865","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"866","Animalia","Chordata","Mammalia","Lagomorpha","Ochotonidae","Ochotona","Ochotona Minor"
"867","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","Esox","Esox"
"868","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus"
"869","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"870","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Chlamyphorus","Chlamyphorus truncatus"
"871","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"872","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"873","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"874","Animalia","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus"
"875","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"876","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"877","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"878","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"879","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus"
"880","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"881","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Antheraea","Antheraea polyphemus"
"882","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"883","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"884","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"885","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"886","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"887","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"888","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"889","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"890","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"891","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax lessonae"
"892","Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Lamna","Lamna nasus"
"893","Animalia","Chordata","Mammalia","Rodentia","Erethizontidae","Erethizon","Erethizon Dorsaum"
"894","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"895","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeriformes","Phalangeridae","Phalangeriforme"
"896","Animalia","Chordata","Mammalia","Diprotodontia","Potoroidae","Potorous","Potorous tridactylus"
"897","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"898","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"899","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
